Year;Month;Anomaly Monthly TWAT;Unc. Monthly TWAT;Anomaly Annual TWAT;Unc. Annual TWAT;Anomaly Five-year TWAT;Unc. Five-year TWAT;Anomaly Ten-year TWAT;Unc. Ten-year TWAT;Anomaly Twenty-year TWAT;Unc. Twenty-year TWAT
1852;12;0.043;0.225;-0.249;0.153;-0.300;0.130;NaN;NaN;NaN;NaN
1853;1;-0.343;0.362;-0.245;0.149;-0.302;0.129;NaN;NaN;NaN;NaN
1853;2;-0.344;0.382;-0.225;0.148;-0.303;0.128;NaN;NaN;NaN;NaN
1853;3;-0.373;0.284;-0.233;0.144;-0.304;0.128;NaN;NaN;NaN;NaN
1853;4;-0.237;0.258;-0.257;0.148;-0.299;0.126;NaN;NaN;NaN;NaN
1853;5;-0.264;0.206;-0.267;0.148;-0.297;0.126;NaN;NaN;NaN;NaN
1853;6;-0.186;0.195;-0.299;0.153;-0.298;0.126;NaN;NaN;NaN;NaN
1853;7;-0.001;0.178;-0.316;0.154;-0.295;0.127;NaN;NaN;NaN;NaN
1853;8;-0.069;0.192;-0.331;0.146;-0.295;0.130;NaN;NaN;NaN;NaN
1853;9;-0.376;0.172;-0.324;0.142;-0.293;0.129;NaN;NaN;NaN;NaN
1853;10;-0.460;0.218;-0.334;0.133;-0.289;0.127;NaN;NaN;NaN;NaN
1853;11;-0.588;0.238;-0.335;0.133;-0.289;0.125;NaN;NaN;NaN;NaN
1853;12;-0.347;0.260;-0.358;0.134;-0.287;0.125;NaN;NaN;NaN;NaN
1854;1;-0.540;0.353;-0.376;0.138;-0.288;0.123;NaN;NaN;NaN;NaN
1854;2;-0.533;0.326;-0.387;0.141;-0.290;0.123;NaN;NaN;NaN;NaN
1854;3;-0.285;0.237;-0.375;0.140;-0.295;0.122;NaN;NaN;NaN;NaN
1854;4;-0.352;0.196;-0.332;0.136;-0.303;0.120;NaN;NaN;NaN;NaN
1854;5;-0.281;0.198;-0.302;0.139;-0.307;0.118;NaN;NaN;NaN;NaN
1854;6;-0.466;0.186;-0.291;0.133;-0.312;0.116;NaN;NaN;NaN;NaN
1854;7;-0.214;0.183;-0.253;0.140;-0.317;0.114;NaN;NaN;NaN;NaN
1854;8;-0.206;0.203;-0.219;0.133;-0.317;0.111;NaN;NaN;NaN;NaN
1854;9;-0.223;0.173;-0.216;0.131;-0.315;0.109;NaN;NaN;NaN;NaN
1854;10;0.055;0.199;-0.192;0.131;-0.319;0.108;NaN;NaN;NaN;NaN
1854;11;-0.230;0.260;-0.188;0.130;-0.328;0.107;NaN;NaN;NaN;NaN
1854;12;-0.222;0.393;-0.177;0.130;-0.335;0.106;-0.340;0.112;NaN;NaN
1855;1;-0.084;0.443;-0.189;0.128;-0.342;0.105;-0.337;0.112;NaN;NaN
1855;2;-0.115;0.383;-0.192;0.129;-0.344;0.105;-0.338;0.111;NaN;NaN
1855;3;-0.260;0.280;-0.209;0.130;-0.347;0.105;-0.340;0.112;NaN;NaN
1855;4;-0.065;0.244;-0.239;0.131;-0.353;0.105;-0.337;0.111;NaN;NaN
1855;5;-0.227;0.248;-0.249;0.130;-0.353;0.105;-0.334;0.110;NaN;NaN
1855;6;-0.333;0.202;-0.274;0.130;-0.358;0.105;-0.333;0.109;NaN;NaN
1855;7;-0.359;0.185;-0.271;0.126;-0.356;0.103;-0.334;0.108;NaN;NaN
1855;8;-0.240;0.175;-0.294;0.143;-0.358;0.101;-0.334;0.108;NaN;NaN
1855;9;-0.426;0.167;-0.309;0.139;-0.358;0.100;-0.333;0.107;NaN;NaN
1855;10;-0.303;0.236;-0.335;0.136;-0.359;0.099;-0.332;0.107;NaN;NaN
1855;11;-0.354;0.226;-0.343;0.132;-0.361;0.099;-0.332;0.106;NaN;NaN
1855;12;-0.525;0.230;-0.330;0.131;-0.362;0.099;-0.335;0.107;NaN;NaN
1856;1;-0.044;0.321;-0.322;0.127;-0.368;0.100;-0.341;0.108;NaN;NaN
1856;2;-0.398;0.363;-0.342;0.127;-0.371;0.101;-0.343;0.108;NaN;NaN
1856;3;-0.433;0.278;-0.361;0.129;-0.372;0.101;-0.343;0.108;NaN;NaN
1856;4;-0.382;0.175;-0.389;0.129;-0.369;0.101;-0.341;0.107;NaN;NaN
1856;5;-0.324;0.205;-0.407;0.127;-0.362;0.100;-0.342;0.106;NaN;NaN
1856;6;-0.171;0.209;-0.401;0.129;-0.365;0.100;-0.342;0.106;NaN;NaN
1856;7;-0.267;0.150;-0.442;0.129;-0.362;0.098;-0.343;0.105;NaN;NaN
1856;8;-0.482;0.216;-0.453;0.117;-0.357;0.097;-0.342;0.105;NaN;NaN
1856;9;-0.646;0.205;-0.470;0.119;-0.357;0.096;-0.343;0.105;NaN;NaN
1856;10;-0.644;0.154;-0.499;0.120;-0.350;0.096;-0.345;0.104;NaN;NaN
1856;11;-0.563;0.213;-0.530;0.120;-0.346;0.096;-0.344;0.102;NaN;NaN
1856;12;-0.462;0.231;-0.560;0.123;-0.341;0.096;-0.346;0.101;NaN;NaN
1857;1;-0.535;0.309;-0.579;0.127;-0.342;0.095;-0.351;0.100;NaN;NaN
1857;2;-0.524;0.243;-0.575;0.130;-0.344;0.095;-0.353;0.098;NaN;NaN
1857;3;-0.635;0.274;-0.558;0.132;-0.349;0.095;-0.351;0.098;NaN;NaN
1857;4;-0.738;0.194;-0.547;0.134;-0.354;0.094;-0.351;0.097;NaN;NaN
1857;5;-0.689;0.189;-0.540;0.137;-0.353;0.094;-0.351;0.096;NaN;NaN
1857;6;-0.538;0.179;-0.523;0.135;-0.352;0.096;-0.353;0.095;NaN;NaN
1857;7;-0.488;0.153;-0.499;0.133;-0.356;0.095;-0.356;0.094;NaN;NaN
1857;8;-0.434;0.163;-0.495;0.132;-0.359;0.097;-0.357;0.094;NaN;NaN
1857;9;-0.443;0.204;-0.471;0.124;-0.366;0.099;-0.359;0.093;NaN;NaN
1857;10;-0.512;0.158;-0.432;0.118;-0.369;0.100;-0.361;0.093;NaN;NaN
1857;11;-0.483;0.235;-0.408;0.116;-0.368;0.099;-0.362;0.093;NaN;NaN
1857;12;-0.264;0.241;-0.387;0.115;-0.367;0.099;-0.369;0.093;NaN;NaN
1858;1;-0.241;0.343;-0.372;0.117;-0.366;0.098;-0.367;0.093;NaN;NaN
1858;2;-0.477;0.244;-0.360;0.115;-0.366;0.098;-0.365;0.091;NaN;NaN
1858;3;-0.349;0.224;-0.358;0.115;-0.363;0.098;-0.365;0.090;NaN;NaN
1858;4;-0.269;0.211;-0.339;0.117;-0.364;0.099;-0.365;0.090;NaN;NaN
1858;5;-0.402;0.204;-0.315;0.113;-0.366;0.099;-0.365;0.090;NaN;NaN
1858;6;-0.279;0.194;-0.334;0.119;-0.371;0.100;-0.366;0.090;NaN;NaN
1858;7;-0.312;0.178;-0.343;0.114;-0.387;0.100;-0.369;0.090;NaN;NaN
1858;8;-0.293;0.186;-0.326;0.115;-0.391;0.099;-0.372;0.091;NaN;NaN
1858;9;-0.418;0.180;-0.317;0.116;-0.393;0.098;-0.373;0.091;NaN;NaN
1858;10;-0.277;0.167;-0.293;0.114;-0.393;0.097;-0.373;0.091;NaN;NaN
1858;11;-0.195;0.188;-0.262;0.114;-0.394;0.098;-0.371;0.091;NaN;NaN
1858;12;-0.493;0.234;-0.249;0.114;-0.398;0.097;-0.371;0.091;NaN;NaN
1859;1;-0.347;0.265;-0.248;0.111;-0.399;0.098;-0.371;0.090;NaN;NaN
1859;2;-0.274;0.244;-0.252;0.109;-0.394;0.099;-0.370;0.091;NaN;NaN
1859;3;-0.244;0.237;-0.258;0.108;-0.390;0.099;-0.371;0.092;NaN;NaN
1859;4;0.015;0.181;-0.256;0.107;-0.387;0.099;-0.371;0.092;NaN;NaN
1859;5;-0.023;0.205;-0.256;0.108;-0.381;0.098;-0.370;0.092;NaN;NaN
1859;6;-0.130;0.184;-0.226;0.112;-0.379;0.097;-0.367;0.092;NaN;NaN
1859;7;-0.298;0.134;-0.225;0.118;-0.385;0.097;-0.367;0.092;NaN;NaN
1859;8;-0.342;0.142;-0.228;0.123;-0.388;0.097;-0.368;0.092;NaN;NaN
1859;9;-0.482;0.161;-0.262;0.140;-0.386;0.098;-0.370;0.092;NaN;NaN
1859;10;-0.256;0.189;-0.283;0.141;-0.382;0.097;-0.373;0.092;NaN;NaN
1859;11;-0.193;0.184;-0.300;0.141;-0.375;0.096;-0.374;0.092;NaN;NaN
1859;12;-0.140;0.348;-0.308;0.139;-0.372;0.095;-0.376;0.091;-0.320;0.100
1860;1;-0.328;0.287;-0.307;0.140;-0.369;0.095;-0.375;0.091;-0.318;0.100
1860;2;-0.314;0.302;-0.298;0.141;-0.370;0.095;-0.376;0.092;-0.319;0.099
1860;3;-0.655;0.281;-0.283;0.141;-0.371;0.095;-0.377;0.093;-0.318;0.099
1860;4;-0.238;0.165;-0.290;0.138;-0.370;0.095;-0.379;0.093;-0.317;0.099
1860;5;-0.219;0.232;-0.316;0.140;-0.371;0.095;-0.380;0.093;-0.315;0.099
1860;6;-0.228;0.148;-0.373;0.134;-0.380;0.096;-0.379;0.093;-0.314;0.098
1860;7;-0.288;0.197;-0.426;0.133;-0.378;0.095;-0.378;0.094;-0.314;0.098
1860;8;-0.239;0.173;-0.453;0.129;-0.373;0.094;-0.378;0.094;-0.314;0.098
1860;9;-0.293;0.157;-0.446;0.120;-0.372;0.094;-0.376;0.094;-0.313;0.097
1860;10;-0.345;0.155;-0.455;0.118;-0.372;0.095;-0.375;0.095;-0.312;0.097
1860;11;-0.501;0.205;-0.471;0.121;-0.369;0.095;-0.374;0.096;-0.311;0.097
1860;12;-0.826;0.287;-0.484;0.123;-0.370;0.095;-0.373;0.096;-0.312;0.097
1861;1;-0.961;0.322;-0.488;0.126;-0.371;0.095;-0.373;0.096;-0.313;0.097
1861;2;-0.644;0.246;-0.487;0.128;-0.372;0.095;-0.372;0.096;-0.314;0.096
1861;3;-0.567;0.243;-0.494;0.131;-0.373;0.096;-0.372;0.097;-0.312;0.096
1861;4;-0.349;0.206;-0.503;0.131;-0.376;0.097;-0.373;0.098;-0.310;0.096
1861;5;-0.415;0.196;-0.478;0.126;-0.379;0.098;-0.373;0.098;-0.310;0.095
1861;6;-0.378;0.204;-0.439;0.123;-0.377;0.099;-0.373;0.098;-0.310;0.095
1861;7;-0.338;0.176;-0.431;0.123;-0.380;0.100;-0.370;0.099;-0.309;0.095
1861;8;-0.225;0.175;-0.439;0.121;-0.382;0.101;-0.368;0.099;-0.309;0.095
1861;9;-0.379;0.180;-0.436;0.122;-0.385;0.103;-0.365;0.099;-0.309;0.095
1861;10;-0.448;0.158;-0.447;0.124;-0.391;0.103;-0.361;0.100;-0.309;0.095
1861;11;-0.202;0.180;-0.435;0.123;-0.393;0.104;-0.357;0.100;-0.310;0.094
1861;12;-0.366;0.256;-0.431;0.124;-0.393;0.104;-0.352;0.101;-0.311;0.094
1862;1;-0.860;0.343;-0.432;0.124;-0.392;0.104;-0.349;0.101;-0.312;0.094
1862;2;-0.741;0.293;-0.453;0.125;-0.392;0.105;-0.347;0.102;-0.311;0.093
1862;3;-0.533;0.233;-0.464;0.127;-0.391;0.105;-0.344;0.102;-0.310;0.093
1862;4;-0.474;0.218;-0.463;0.132;-0.393;0.105;-0.339;0.103;-0.309;0.092
1862;5;-0.278;0.255;-0.489;0.130;-0.396;0.105;-0.336;0.103;-0.309;0.092
1862;6;-0.320;0.211;-0.527;0.134;-0.400;0.104;-0.333;0.103;-0.310;0.092
1862;7;-0.357;0.149;-0.468;0.132;-0.394;0.105;-0.331;0.103;-0.310;0.091
1862;8;-0.481;0.171;-0.417;0.137;-0.393;0.105;-0.329;0.104;-0.309;0.091
1862;9;-0.509;0.162;-0.400;0.136;-0.389;0.106;-0.327;0.104;-0.309;0.091
1862;10;-0.437;0.179;-0.381;0.134;-0.390;0.107;-0.322;0.105;-0.309;0.091
1862;11;-0.513;0.208;-0.377;0.127;-0.391;0.108;-0.317;0.105;-0.308;0.091
1862;12;-0.816;0.226;-0.381;0.126;-0.392;0.109;-0.316;0.105;-0.310;0.091
1863;1;-0.159;0.303;-0.381;0.129;-0.390;0.110;-0.318;0.105;-0.310;0.091
1863;2;-0.125;0.373;-0.371;0.129;-0.390;0.111;-0.318;0.105;-0.309;0.091
1863;3;-0.336;0.224;-0.367;0.132;-0.389;0.112;-0.317;0.106;-0.309;0.091
1863;4;-0.237;0.198;-0.369;0.136;-0.387;0.113;-0.316;0.106;-0.309;0.091
1863;5;-0.236;0.198;-0.355;0.142;-0.381;0.114;-0.314;0.106;-0.309;0.090
1863;6;-0.362;0.206;-0.319;0.147;-0.375;0.115;-0.312;0.106;-0.309;0.091
1863;7;-0.361;0.201;-0.352;0.148;-0.359;0.115;-0.309;0.106;-0.310;0.091
1863;8;-0.365;0.217;-0.375;0.158;-0.352;0.116;-0.307;0.106;-0.310;0.091
1863;9;-0.461;0.220;-0.380;0.160;-0.350;0.116;-0.306;0.106;-0.310;0.091
1863;10;-0.456;0.216;-0.389;0.164;-0.352;0.117;-0.303;0.107;-0.309;0.090
1863;11;-0.349;0.241;-0.382;0.166;-0.351;0.117;-0.304;0.107;-0.308;0.090
1863;12;-0.377;0.271;-0.363;0.164;-0.349;0.117;-0.301;0.107;-0.308;0.090
1864;1;-0.556;0.324;-0.350;0.158;-0.342;0.117;-0.299;0.108;-0.306;0.090
1864;2;-0.400;0.332;-0.349;0.153;-0.341;0.118;-0.296;0.108;-0.306;0.089
1864;3;-0.401;0.304;-0.349;0.146;-0.340;0.118;-0.299;0.109;-0.307;0.089
1864;4;-0.345;0.218;-0.342;0.139;-0.336;0.119;-0.301;0.109;-0.307;0.089
1864;5;-0.151;0.204;-0.340;0.133;-0.333;0.120;-0.302;0.109;-0.307;0.089
1864;6;-0.131;0.169;-0.344;0.130;-0.325;0.121;-0.303;0.110;-0.307;0.089
1864;7;-0.215;0.171;-0.292;0.133;-0.313;0.121;-0.302;0.110;-0.307;0.089
1864;8;-0.342;0.185;-0.281;0.132;-0.305;0.123;-0.301;0.110;-0.307;0.089
1864;9;-0.472;0.195;-0.282;0.131;-0.301;0.124;-0.298;0.110;-0.307;0.089
1864;10;-0.360;0.215;-0.279;0.133;-0.295;0.124;-0.297;0.110;-0.308;0.089
1864;11;-0.335;0.249;-0.289;0.133;-0.296;0.126;-0.297;0.110;-0.309;0.088
1864;12;-0.425;0.223;-0.300;0.133;-0.294;0.127;-0.299;0.109;-0.309;0.088
1865;1;0.075;0.290;-0.300;0.138;-0.292;0.128;-0.298;0.109;-0.311;0.088
1865;2;-0.266;0.261;-0.289;0.142;-0.288;0.129;-0.299;0.108;-0.312;0.088
1865;3;-0.413;0.289;-0.268;0.143;-0.282;0.130;-0.297;0.108;-0.313;0.088
1865;4;-0.316;0.216;-0.259;0.150;-0.275;0.132;-0.296;0.108;-0.314;0.088
1865;5;-0.265;0.202;-0.245;0.156;-0.263;0.133;-0.296;0.108;-0.314;0.088
1865;6;-0.268;0.206;-0.248;0.165;-0.252;0.132;-0.295;0.108;-0.314;0.087
1865;7;-0.211;0.177;-0.250;0.166;-0.257;0.133;-0.294;0.108;-0.313;0.087
1865;8;-0.208;0.213;-0.251;0.172;-0.264;0.135;-0.294;0.108;-0.313;0.087
1865;9;-0.222;0.222;-0.253;0.180;-0.263;0.135;-0.293;0.108;-0.312;0.087
1865;10;-0.248;0.210;-0.267;0.190;-0.260;0.135;-0.293;0.108;-0.312;0.087
1865;11;-0.174;0.252;-0.273;0.192;-0.258;0.135;-0.291;0.107;-0.312;0.087
1865;12;-0.461;0.362;-0.269;0.191;-0.254;0.135;-0.289;0.107;-0.312;0.087
1866;1;0.050;0.309;-0.244;0.189;-0.247;0.134;-0.285;0.107;-0.313;0.087
1866;2;-0.274;0.343;-0.245;0.184;-0.242;0.134;-0.284;0.106;-0.313;0.087
1866;3;-0.438;0.377;-0.250;0.183;-0.238;0.132;-0.281;0.106;-0.312;0.087
1866;4;-0.482;0.259;-0.248;0.180;-0.231;0.132;-0.279;0.106;-0.312;0.087
1866;5;-0.341;0.174;-0.235;0.172;-0.229;0.131;-0.278;0.105;-0.312;0.087
1866;6;-0.222;0.185;-0.189;0.162;-0.225;0.130;-0.277;0.105;-0.313;0.086
1866;7;0.087;0.199;-0.205;0.164;-0.218;0.132;-0.275;0.105;-0.313;0.086
1866;8;-0.210;0.235;-0.204;0.160;-0.210;0.130;-0.275;0.104;-0.312;0.086
1866;9;-0.289;0.206;-0.191;0.155;-0.212;0.130;-0.275;0.104;-0.311;0.087
1866;10;-0.225;0.195;-0.159;0.150;-0.210;0.129;-0.274;0.104;-0.309;0.087
1866;11;-0.017;0.186;-0.160;0.151;-0.211;0.128;-0.276;0.104;-0.308;0.087
1866;12;0.098;0.215;-0.159;0.151;-0.212;0.128;-0.276;0.105;-0.309;0.087
1867;1;-0.149;0.341;-0.182;0.152;-0.213;0.129;-0.273;0.105;-0.307;0.086
1867;2;-0.265;0.268;-0.187;0.156;-0.210;0.129;-0.270;0.105;-0.305;0.087
1867;3;-0.280;0.290;-0.174;0.156;-0.204;0.128;-0.269;0.104;-0.302;0.087
1867;4;-0.097;0.183;-0.156;0.158;-0.201;0.128;-0.268;0.104;-0.300;0.086
1867;5;-0.355;0.193;-0.137;0.159;-0.198;0.129;-0.267;0.105;-0.297;0.086
1867;6;-0.203;0.169;-0.159;0.157;-0.198;0.130;-0.267;0.105;-0.295;0.086
1867;7;-0.197;0.175;-0.186;0.149;-0.203;0.128;-0.265;0.105;-0.293;0.086
1867;8;-0.264;0.212;-0.207;0.146;-0.206;0.127;-0.261;0.104;-0.290;0.086
1867;9;-0.139;0.204;-0.207;0.143;-0.204;0.125;-0.258;0.104;-0.288;0.086
1867;10;0.001;0.226;-0.208;0.144;-0.203;0.124;-0.256;0.105;-0.285;0.086
1867;11;0.210;0.241;-0.186;0.142;-0.201;0.123;-0.255;0.105;-0.282;0.086
1867;12;-0.165;0.298;-0.179;0.142;-0.199;0.122;-0.252;0.105;-0.281;0.086
1868;1;-0.473;0.252;-0.159;0.140;-0.197;0.121;-0.253;0.105;-0.280;0.086
1868;2;-0.525;0.290;-0.142;0.136;-0.198;0.121;-0.253;0.106;-0.277;0.086
1868;3;-0.283;0.218;-0.149;0.135;-0.198;0.119;-0.252;0.106;-0.273;0.086
1868;4;-0.100;0.191;-0.149;0.134;-0.199;0.118;-0.253;0.106;-0.271;0.086
1868;5;-0.096;0.190;-0.187;0.130;-0.201;0.116;-0.254;0.106;-0.269;0.086
1868;6;-0.119;0.176;-0.183;0.131;-0.202;0.114;-0.252;0.106;-0.268;0.086
1868;7;0.045;0.159;-0.159;0.137;-0.212;0.113;-0.251;0.105;-0.266;0.086
1868;8;-0.062;0.164;-0.109;0.137;-0.216;0.111;-0.249;0.105;-0.265;0.086
1868;9;-0.226;0.177;-0.128;0.145;-0.213;0.109;-0.248;0.104;-0.263;0.086
1868;10;-0.001;0.182;-0.139;0.138;-0.206;0.108;-0.246;0.103;-0.263;0.086
1868;11;-0.245;0.180;-0.146;0.141;-0.205;0.107;-0.246;0.102;-0.262;0.086
1868;12;-0.112;0.265;-0.154;0.139;-0.205;0.107;-0.245;0.102;-0.260;0.086
1869;1;-0.180;0.301;-0.178;0.139;-0.209;0.106;-0.242;0.101;-0.260;0.086
1869;2;0.070;0.261;-0.188;0.141;-0.209;0.106;-0.241;0.100;-0.259;0.086
1869;3;-0.511;0.341;-0.177;0.137;-0.211;0.105;-0.243;0.099;-0.259;0.086
1869;4;-0.227;0.180;-0.195;0.134;-0.211;0.104;-0.244;0.098;-0.260;0.086
1869;5;-0.187;0.189;-0.187;0.134;-0.219;0.104;-0.245;0.098;-0.261;0.086
1869;6;-0.209;0.176;-0.209;0.129;-0.227;0.103;-0.246;0.097;-0.261;0.086
1869;7;-0.240;0.153;-0.217;0.121;-0.232;0.103;-0.247;0.097;-0.261;0.086
1869;8;-0.186;0.166;-0.258;0.115;-0.235;0.101;-0.246;0.097;-0.260;0.086
1869;9;-0.094;0.166;-0.242;0.108;-0.236;0.100;-0.243;0.097;-0.259;0.086
1869;10;-0.217;0.169;-0.241;0.111;-0.240;0.100;-0.243;0.097;-0.259;0.086
1869;11;-0.155;0.175;-0.241;0.110;-0.238;0.099;-0.243;0.097;-0.259;0.086
1869;12;-0.376;0.235;-0.233;0.108;-0.239;0.099;-0.243;0.097;-0.260;0.085
1870;1;-0.274;0.216;-0.222;0.107;-0.238;0.098;-0.247;0.096;-0.260;0.085
1870;2;-0.416;0.253;-0.229;0.107;-0.234;0.097;-0.248;0.096;-0.261;0.085
1870;3;-0.319;0.198;-0.237;0.108;-0.235;0.096;-0.248;0.094;-0.259;0.085
1870;4;-0.219;0.174;-0.246;0.108;-0.238;0.095;-0.248;0.094;-0.260;0.085
1870;5;-0.182;0.151;-0.258;0.111;-0.248;0.094;-0.248;0.093;-0.260;0.085
1870;6;-0.121;0.145;-0.273;0.109;-0.253;0.094;-0.248;0.093;-0.260;0.085
1870;7;-0.102;0.148;-0.292;0.110;-0.249;0.094;-0.248;0.092;-0.260;0.085
1870;8;-0.270;0.161;-0.301;0.112;-0.242;0.094;-0.249;0.092;-0.260;0.085
1870;9;-0.198;0.148;-0.294;0.110;-0.242;0.093;-0.249;0.091;-0.260;0.085
1870;10;-0.318;0.177;-0.281;0.111;-0.246;0.093;-0.248;0.090;-0.260;0.085
1870;11;-0.299;0.228;-0.290;0.113;-0.249;0.094;-0.251;0.089;-0.259;0.085
1870;12;-0.556;0.207;-0.299;0.116;-0.251;0.093;-0.251;0.088;-0.256;0.084
1871;1;-0.500;0.234;-0.305;0.116;-0.254;0.093;-0.254;0.088;-0.253;0.084
1871;2;-0.527;0.274;-0.299;0.114;-0.256;0.093;-0.254;0.087;-0.251;0.084
1871;3;-0.238;0.216;-0.315;0.115;-0.258;0.093;-0.253;0.086;-0.249;0.084
1871;4;-0.065;0.139;-0.311;0.116;-0.262;0.092;-0.251;0.086;-0.248;0.084
1871;5;-0.286;0.172;-0.326;0.111;-0.264;0.092;-0.252;0.085;-0.246;0.084
1871;6;-0.230;0.144;-0.311;0.108;-0.265;0.090;-0.253;0.085;-0.246;0.083
1871;7;-0.172;0.151;-0.307;0.116;-0.266;0.087;-0.255;0.084;-0.246;0.083
1871;8;-0.205;0.145;-0.298;0.111;-0.272;0.086;-0.256;0.084;-0.245;0.083
1871;9;-0.386;0.173;-0.310;0.111;-0.275;0.084;-0.256;0.084;-0.245;0.083
1871;10;-0.265;0.171;-0.333;0.113;-0.277;0.084;-0.257;0.083;-0.244;0.082
1871;11;-0.482;0.176;-0.326;0.113;-0.278;0.084;-0.260;0.083;-0.245;0.082
1871;12;-0.379;0.211;-0.329;0.112;-0.280;0.083;-0.265;0.083;-0.244;0.083
1872;1;-0.456;0.341;-0.325;0.111;-0.281;0.083;-0.266;0.082;-0.240;0.083
1872;2;-0.417;0.241;-0.312;0.109;-0.281;0.083;-0.264;0.082;-0.237;0.083
1872;3;-0.381;0.235;-0.295;0.104;-0.283;0.082;-0.261;0.082;-0.235;0.083
1872;4;-0.342;0.175;-0.291;0.103;-0.285;0.082;-0.261;0.082;-0.234;0.082
1872;5;-0.195;0.179;-0.281;0.106;-0.289;0.082;-0.259;0.081;-0.234;0.083
1872;6;-0.264;0.149;-0.286;0.105;-0.288;0.081;-0.258;0.080;-0.234;0.083
1872;7;-0.132;0.133;-0.271;0.098;-0.291;0.080;-0.255;0.080;-0.234;0.082
1872;8;-0.051;0.142;-0.243;0.104;-0.290;0.079;-0.251;0.080;-0.233;0.082
1872;9;-0.181;0.131;-0.234;0.102;-0.292;0.078;-0.249;0.079;-0.232;0.082
1872;10;-0.213;0.155;-0.238;0.105;-0.294;0.078;-0.248;0.078;-0.231;0.082
1872;11;-0.368;0.176;-0.244;0.106;-0.295;0.077;-0.248;0.078;-0.231;0.082
1872;12;-0.438;0.203;-0.240;0.107;-0.298;0.077;-0.247;0.078;-0.229;0.082
1873;1;-0.269;0.228;-0.243;0.107;-0.300;0.077;-0.243;0.078;-0.230;0.082
1873;2;-0.081;0.212;-0.251;0.110;-0.299;0.077;-0.235;0.078;-0.232;0.082
