Year;Month;Anomaly Monthly TAVG;Unc. Monthly TAVG;Anomaly Annual TAVG;Unc. Annual TAVG;Anomaly Five-year TAVG;Unc. Five-year TAVG;Anomaly Ten-year TAVG;Unc. Ten-year TAVG;Anomaly Twenty-year TAVG;Unc. Twenty-year TAVG
1760;3;-3.453;3.260;-2.670;1.937;-1.717;0.916;-1.207;0.764;NaN;NaN
1760;4;-2.059;3.089;-2.734;1.906;-1.706;0.894;-1.202;0.754;NaN;NaN
1760;5;-1.836;1.435;-2.602;1.749;-1.671;0.907;-1.211;0.748;NaN;NaN
1760;6;-2.202;1.517;-2.453;1.480;-1.653;0.915;-1.241;0.754;NaN;NaN
1760;7;-2.787;1.646;-2.301;1.442;-1.624;0.872;-1.254;0.748;NaN;NaN
1760;8;-1.999;2.236;-2.379;1.412;-1.620;0.881;-1.249;0.751;NaN;NaN
1760;9;-2.458;1.744;-2.070;1.369;-1.660;0.917;-1.246;0.746;NaN;NaN
1760;10;-2.808;2.437;-2.013;1.249;-1.663;0.902;-1.271;0.759;NaN;NaN
1760;11;-1.388;2.036;-1.788;1.239;-1.649;0.904;-1.262;0.767;NaN;NaN
1760;12;-3.305;3.343;-1.413;1.281;-1.666;0.930;-1.249;0.752;NaN;NaN
1761;1;-2.816;4.074;-0.909;1.211;-1.616;0.955;-1.281;0.771;NaN;NaN
1761;2;-1.432;3.464;-0.802;1.146;-1.587;0.969;-1.295;0.774;NaN;NaN
1761;3;0.265;2.113;-0.652;1.101;-1.568;0.974;-1.289;0.764;NaN;NaN
1761;4;-1.376;1.660;-0.692;1.115;-1.563;0.991;-1.303;0.774;NaN;NaN
1761;5;0.865;1.992;-0.690;1.161;-1.585;0.964;-1.313;0.772;NaN;NaN
1761;6;2.296;3.050;-0.925;1.149;-1.574;0.959;-1.318;0.786;NaN;NaN
1761;7;3.255;3.063;-0.482;1.198;-1.631;0.953;-1.329;0.797;NaN;NaN
1761;8;-0.710;2.607;-0.305;1.171;-1.613;0.925;-1.321;0.797;NaN;NaN
1761;9;-0.659;2.542;-0.492;1.271;-1.612;0.927;-1.313;0.801;NaN;NaN
1761;10;-3.287;2.546;-0.404;1.278;-1.595;0.943;-1.309;0.799;NaN;NaN
1761;11;-1.368;3.565;-0.601;1.181;-1.582;0.990;-1.277;0.798;NaN;NaN
1761;12;-6.127;2.881;-0.904;1.247;-1.619;1.002;-1.259;0.771;NaN;NaN
1762;1;2.501;5.519;-1.310;1.313;-1.606;1.029;-1.266;0.779;NaN;NaN
1762;2;0.694;5.472;-1.295;1.165;-1.624;1.069;-1.278;0.761;NaN;NaN
1762;3;-1.975;3.824;-1.440;1.113;-1.631;1.056;-1.262;0.745;NaN;NaN
1762;4;-0.323;1.828;-1.426;1.075;-1.585;1.027;-1.281;0.765;NaN;NaN
1762;5;-1.504;4.174;-1.330;1.080;-1.545;1.004;-1.298;0.762;NaN;NaN
1762;6;-1.338;2.619;-0.992;1.048;-1.435;0.930;-1.310;0.769;NaN;NaN
1762;7;-1.609;2.111;-1.444;1.152;-1.336;0.869;-1.338;0.785;NaN;NaN
1762;8;-0.533;2.441;-1.730;1.289;-1.329;0.892;-1.352;0.783;NaN;NaN
1762;9;-2.404;3.508;-1.915;1.602;-1.256;0.872;-1.366;0.775;-1.155;0.690
1762;10;-3.116;2.610;-2.032;1.545;-1.213;0.852;-1.336;0.758;-1.149;0.693
1762;11;-0.213;1.982;-2.068;1.397;-1.200;0.848;-1.300;0.734;-1.139;0.692
1762;12;-2.073;3.850;-2.141;1.387;-1.217;0.882;-1.292;0.722;-1.125;0.695
1763;1;-2.923;3.267;-1.883;1.330;-1.188;0.817;-1.297;0.724;-1.134;0.695
1763;2;-2.735;3.154;-1.958;1.322;-1.168;0.812;-1.303;0.744;-1.136;0.704
1763;3;-4.197;3.289;-1.883;1.186;-1.147;0.800;-1.318;0.757;-1.145;0.705
1763;4;-1.724;1.942;-1.877;1.322;-1.120;0.799;-1.318;0.753;-1.136;0.709
1763;5;-1.934;1.762;-2.061;1.322;-1.101;0.809;-1.318;0.750;-1.129;0.709
1763;6;-2.224;2.374;-1.999;1.265;-1.059;0.799;-1.322;0.747;-1.131;0.704
1763;7;1.493;1.601;-1.942;1.318;-1.067;0.814;-1.314;0.757;-1.130;0.703
1763;8;-1.435;1.978;-1.540;1.251;-1.030;0.823;-1.300;0.758;-1.126;0.700
1763;9;-1.509;1.666;-1.264;1.166;-1.033;0.821;-1.289;0.756;-1.118;0.697
1763;10;-3.039;4.924;-1.226;1.260;-1.021;0.830;-1.274;0.752;-1.115;0.698
1763;11;-2.420;2.140;-1.193;1.471;-1.043;0.837;-1.275;0.736;-1.118;0.700
1763;12;-1.329;3.413;-1.228;1.440;-1.092;0.868;-1.264;0.727;-1.092;0.700
1764;1;-2.242;2.655;-1.498;1.569;-1.174;0.886;-1.276;0.723;-1.103;0.709
1764;2;2.096;2.947;-1.510;1.467;-1.170;0.890;-1.296;0.719;-1.087;0.719
1764;3;-0.891;2.230;-1.510;1.396;-1.159;0.893;-1.298;0.719;-1.082;0.720
1764;4;-1.267;2.974;-1.195;1.184;-1.120;0.867;-1.275;0.718;-1.088;0.721
1764;5;-1.541;1.778;-1.043;1.184;-1.073;0.858;-1.246;0.715;-1.067;0.728
1764;6;-2.638;1.651;-0.806;1.062;-0.988;0.819;-1.234;0.715;-1.060;0.719
1764;7;-1.750;2.700;-0.510;0.954;-1.089;0.842;-1.216;0.715;-1.053;0.716
1764;8;-1.579;1.055;-0.691;0.976;-1.107;0.816;-1.218;0.725;-1.046;0.714
1764;9;-1.512;2.841;-0.542;0.929;-1.059;0.798;-1.216;0.726;-1.044;0.715
1764;10;0.743;2.037;-0.392;0.925;-1.095;0.817;-1.233;0.730;-1.047;0.715
1764;11;-0.597;2.735;-0.350;1.055;-1.098;0.794;-1.235;0.729;-1.058;0.721
1764;12;1.517;3.378;-0.399;0.936;-1.066;0.781;-1.229;0.720;-1.069;0.719
1765;1;1.313;5.880;-0.342;1.091;-1.065;0.784;-1.195;0.722;-1.060;0.724
1765;2;-0.076;3.323;-0.277;1.062;-1.046;0.781;-1.191;0.732;-1.040;0.731
1765;3;0.893;2.536;-0.249;1.034;-1.014;0.755;-1.198;0.740;-1.026;0.727
1765;4;0.536;1.491;-0.411;0.990;-0.966;0.751;-1.173;0.754;-1.032;0.723
1765;5;-1.037;1.754;-0.383;0.947;-0.928;0.708;-1.172;0.754;-1.036;0.718
1765;6;-3.226;1.506;-0.574;0.952;-0.931;0.703;-1.173;0.754;-1.046;0.707
1765;7;-1.072;2.450;-0.959;1.059;-0.970;0.706;-1.177;0.750;-1.049;0.708
1765;8;-0.797;1.381;-0.883;1.031;-0.986;0.731;-1.181;0.741;-1.043;0.704
1765;9;-1.175;1.341;-0.951;1.049;-0.976;0.730;-1.170;0.747;-1.041;0.699
1765;10;-1.203;1.583;-1.052;1.078;-0.973;0.737;-1.148;0.756;-1.045;0.701
1765;11;-0.263;2.241;-1.001;1.112;-0.988;0.728;-1.137;0.767;-1.030;0.705
1765;12;-0.769;2.548;-0.788;1.067;-0.978;0.714;-1.099;0.772;-1.029;0.706
1766;1;-3.312;4.375;-0.838;1.248;-1.013;0.715;-1.057;0.792;-1.046;0.708
1766;2;0.836;3.426;-0.812;1.299;-1.012;0.704;-1.084;0.789;-1.054;0.706
1766;3;0.079;2.145;-0.713;1.374;-1.010;0.704;-1.117;0.781;-1.059;0.708
1766;4;-0.674;1.827;-0.691;1.295;-0.984;0.715;-1.129;0.779;-1.070;0.708
1766;5;-0.422;1.495;-0.548;1.175;-0.965;0.728;-1.150;0.764;-1.081;0.703
1766;6;-0.669;3.553;-0.568;1.118;-0.954;0.745;-1.171;0.769;-1.081;0.697
1766;7;-1.679;2.056;-0.591;1.039;-0.920;0.788;-1.206;0.761;-1.083;0.697
1766;8;-0.479;1.775;-0.690;0.929;-0.978;0.796;-1.201;0.757;-1.075;0.693
1766;9;0.016;1.689;-0.623;0.976;-0.983;0.813;-1.202;0.756;-1.080;0.689
1766;10;-0.943;1.737;-0.773;1.037;-0.955;0.815;-1.167;0.761;-1.081;0.690
1766;11;1.450;2.628;-0.878;1.048;-0.910;0.856;-1.168;0.771;-1.075;0.690
1766;12;-1.007;3.059;-0.774;1.131;-0.849;0.880;-1.126;0.795;-1.058;0.692
1767;1;-3.586;5.393;-0.764;1.109;-0.827;0.906;-1.156;0.772;-1.034;0.699
1767;2;-0.358;5.151;-0.675;1.114;-0.812;0.932;-1.181;0.761;-1.034;0.701
1767;3;0.889;4.943;-0.717;1.154;-0.801;0.939;-1.190;0.752;-1.035;0.699
1767;4;-2.482;3.469;-0.658;1.173;-0.880;0.945;-1.187;0.748;-1.047;0.695
1767;5;-1.682;1.526;-0.603;1.372;-0.925;0.936;-1.193;0.758;-1.052;0.689
1767;6;0.583;1.864;-0.707;1.425;-1.023;0.904;-1.195;0.749;-1.068;0.680
1767;7;-1.555;2.686;-0.846;1.294;-1.055;0.931;-1.183;0.740;-1.085;0.672
1767;8;0.591;1.145;-1.127;1.028;-1.052;0.932;-1.180;0.743;-1.102;0.672
1767;9;-0.493;2.320;-1.499;0.971;-1.140;0.941;-1.174;0.746;-1.113;0.673
1767;10;-0.233;2.229;-1.422;0.976;-1.132;0.993;-1.147;0.760;-1.108;0.675
1767;11;2.106;5.202;-1.517;0.958;-1.144;0.988;-1.128;0.759;-1.102;0.675
1767;12;-2.255;3.530;-1.700;0.945;-1.129;1.025;-1.092;0.783;-1.091;0.676
1768;1;-5.253;3.435;-1.621;0.979;-1.166;0.975;-1.094;0.757;-1.070;0.681
1768;2;-3.728;4.717;-1.788;0.969;-1.194;0.968;-1.088;0.763;-1.050;0.680
1768;3;-3.575;2.807;-1.864;0.991;-1.194;0.992;-1.064;0.777;-1.051;0.675
1768;4;-1.566;2.118;-1.965;1.026;-1.176;1.003;-1.041;0.784;-1.038;0.676
1768;5;-2.815;1.561;-2.247;1.218;-1.172;1.057;-1.013;0.790;-1.031;0.674
1768;6;-1.616;1.681;-2.117;1.317;-1.139;1.087;-1.004;0.799;-1.037;0.670
1768;7;-0.601;2.159;-1.696;1.569;-1.046;1.144;-1.019;0.797;-1.031;0.667
1768;8;-1.414;1.370;-1.500;1.739;-1.138;1.125;-1.011;0.799;-1.026;0.665
1768;9;-1.402;2.290;-1.299;2.095;-1.201;1.110;-0.996;0.800;-1.012;0.667
1768;10;-1.445;2.614;-1.133;1.977;-1.237;1.103;-0.969;0.823;-1.006;0.670
1768;11;-1.278;3.391;-0.805;2.183;-1.258;1.057;-0.968;0.825;-1.011;0.668
1768;12;-0.706;4.858;-0.585;2.206;-1.250;1.111;-0.939;0.828;-1.011;0.667
1769;1;-0.191;4.706;-0.569;2.138;-1.237;1.126;-0.948;0.844;-1.024;0.667
1769;2;-1.374;3.434;-0.507;2.341;-1.232;1.152;-0.958;0.850;-1.024;0.672
1769;3;-1.166;3.644;-0.463;2.258;-1.246;1.174;-0.954;0.855;-1.018;0.671
1769;4;0.420;3.106;-0.678;2.283;-1.214;1.166;-0.930;0.868;-1.007;0.672
1769;5;1.128;3.966;-0.842;2.098;-1.263;1.185;-0.872;0.919;-0.990;0.670
1769;6;1.023;1.979;-1.151;1.752;-1.264;1.203;-0.838;0.928;-0.997;0.669
1769;7;-0.416;2.190;-1.183;1.718;-1.222;1.111;-0.810;0.950;-0.993;0.669
1769;8;-0.666;2.757;-1.061;1.570;-1.254;1.060;-0.798;0.948;-0.995;0.668
1769;9;-0.880;1.502;-1.327;1.558;-1.321;1.045;-0.797;0.948;-0.990;0.667
1769;10;-4.019;2.370;-1.280;1.814;-1.279;1.035;-0.809;0.941;-0.981;0.668
1769;11;-3.253;1.923;-1.518;1.685;-1.289;1.045;-0.829;0.933;-0.970;0.666
1769;12;-4.410;2.315;-1.798;1.537;-1.324;1.024;-0.869;0.923;-0.953;0.664
1770;1;-0.578;4.420;-2.038;1.333;-1.301;1.024;-0.870;0.922;-0.934;0.666
1770;2;0.090;3.023;-2.189;1.196;-1.313;1.035;-0.849;0.921;-0.929;0.672
1770;3;-4.359;2.564;-2.212;1.266;-1.334;1.040;-0.845;0.916;-0.916;0.672
1770;4;0.992;5.041;-1.889;1.216;-1.328;1.059;-0.862;0.909;-0.891;0.677
1770;5;-1.735;1.474;-1.621;1.345;-1.329;1.064;-0.862;0.898;-0.871;0.679
1770;6;-2.336;1.960;-1.153;1.592;-1.252;1.074;-0.850;0.909;-0.860;0.679
1770;7;-3.295;3.449;-0.917;1.696;-1.217;1.033;-0.844;0.902;-0.845;0.683
1770;8;-2.474;2.077;-1.315;1.713;-1.190;1.039;-0.837;0.902;-0.842;0.680
1770;9;-1.163;2.371;-1.257;1.527;-1.152;1.080;-0.837;0.903;-0.844;0.682
1770;10;-0.134;1.925;-1.576;1.142;-1.110;1.093;-0.818;0.908;-0.830;0.686
1770;11;-0.040;3.953;-1.571;0.977;-1.038;1.120;-0.799;0.905;-0.822;0.683
1770;12;1.206;4.885;-1.393;1.023;-1.030;1.122;-0.810;0.897;-0.814;0.683
1771;1;2.256;3.207;-1.194;1.190;-1.025;1.102;-0.812;0.893;-0.803;0.685
1771;2;-4.684;2.857;-1.001;1.345;-1.011;1.119;-0.812;0.892;-0.800;0.685
1771;3;-3.666;2.399;-0.971;1.314;-0.982;1.099;-0.828;0.898;-0.803;0.684
1771;4;-2.841;2.228;-0.880;1.277;-0.955;1.099;-0.838;0.904;-0.803;0.685
1771;5;-1.673;3.891;-1.000;1.106;-0.972;1.058;-0.850;0.921;-0.808;0.686
1771;6;-0.195;2.294;-1.189;1.075;-0.924;1.024;-0.843;0.933;-0.825;0.685
1771;7;-0.911;1.267;-1.468;0.930;-0.977;1.005;-0.838;0.937;-0.838;0.681
1771;8;-0.161;1.955;-1.270;1.080;-0.939;1.005;-0.830;0.935;-0.833;0.673
1771;9;-0.805;1.928;-1.222;1.013;-0.925;0.996;-0.847;0.932;-0.838;0.677
1771;10;0.969;1.555;-0.984;0.941;-0.906;1.004;-0.852;0.927;-0.826;0.678
1771;11;-1.485;2.046;-1.033;1.028;-0.834;1.051;-0.872;0.920;-0.813;0.680
1771;12;-1.068;3.348;-1.146;0.993;-0.827;1.043;-0.857;0.917;-0.789;0.676
1772;1;-1.088;4.653;-1.084;1.025;-0.794;1.059;-0.803;0.901;-0.807;0.675
1772;2;-2.309;5.539;-1.080;0.962;-0.784;1.028;-0.791;0.887;-0.819;0.656
1772;3;-3.093;2.576;-1.159;0.929;-0.792;1.022;-0.807;0.880;-0.820;0.662
1772;4;0.021;2.062;-1.231;0.929;-0.739;1.003;-0.812;0.876;-0.818;0.658
1772;5;-2.260;1.532;-0.934;0.907;-0.734;0.992;-0.805;0.876;-0.811;0.662
1772;6;-1.553;2.802;-0.652;0.919;-0.714;1.006;-0.826;0.878;-0.804;0.657
1772;7;-0.163;1.915;-0.823;0.913;-0.684;0.974;-0.833;0.882;-0.799;0.652
1772;8;-0.117;2.435;-0.804;0.952;-0.646;0.970;-0.852;0.880;-0.790;0.653
1772;9;-1.758;2.052;-0.655;0.923;-0.550;0.954;-0.859;0.879;-0.778;0.657
1772;10;0.110;2.228;-0.575;0.943;-0.592;0.890;-0.880;0.880;-0.768;0.658
1772;11;2.077;3.436;-0.264;0.977;-0.581;0.875;-0.905;0.877;-0.773;0.655
1772;12;2.324;3.352;-0.229;1.097;-0.572;0.859;-0.889;0.868;-0.770;0.657
1773;1;-3.149;2.779;-0.239;1.148;-0.523;0.891;-0.844;0.876;-0.771;0.654
1773;2;-2.073;2.923;-0.276;1.168;-0.480;0.899;-0.797;0.895;-0.753;0.653
1773;3;-1.311;2.264;-0.104;1.179;-0.480;0.878;-0.783;0.911;-0.739;0.655
1773;4;0.987;2.756;-0.097;1.122;-0.460;0.878;-0.759;0.903;-0.733;0.651
1773;5;1.465;1.921;-0.463;1.249;-0.425;0.825;-0.744;0.903;-0.723;0.648
