Year;Month;Anomaly Monthly TMIN;Unc. Monthly TMIN;Anomaly Annual TMIN;Unc. Annual TMIN;Anomaly Five-year TMIN;Unc. Five-year TMIN;Anomaly Ten-year TMIN;Unc. Ten-year TMIN;Anomaly Twenty-year TMIN;Unc. Twenty-year TMIN
1851;10;-0.151;1.126;-0.985;0.970;-0.968;0.525;-0.988;0.490;-0.898;0.471
1851;11;-1.090;1.117;-1.008;1.001;-0.967;0.526;-1.019;0.498;-0.893;0.470
1851;12;-0.513;3.230;-0.988;0.935;-0.971;0.529;-1.026;0.503;-0.906;0.465
1852;1;-0.797;2.194;-0.996;0.882;-0.956;0.521;-1.059;0.514;-0.923;0.465
1852;2;-0.332;2.368;-0.944;0.859;-0.952;0.515;-1.033;0.519;-0.944;0.471
1852;3;-1.360;1.444;-1.063;0.908;-0.956;0.513;-1.017;0.524;-0.961;0.469
1852;4;-3.246;2.281;-1.122;0.902;-0.950;0.506;-1.012;0.526;-0.966;0.470
1852;5;-1.325;1.205;-1.178;0.976;-0.990;0.523;-1.026;0.525;-0.966;0.462
1852;6;-0.751;0.554;-1.177;0.900;-0.993;0.537;-1.036;0.522;-0.966;0.457
1852;7;-1.151;0.991;-1.102;0.826;-0.984;0.566;-1.042;0.517;-0.968;0.451
1852;8;-0.845;1.017;-1.154;0.905;-1.030;0.587;-1.047;0.511;-0.974;0.447
1852;9;-1.191;1.573;-1.196;0.901;-1.034;0.587;-1.054;0.508;-0.972;0.441
1852;10;-0.859;1.243;-1.034;0.799;-1.035;0.574;-1.052;0.505;-0.968;0.440
1852;11;-1.770;2.001;-1.016;0.752;-1.034;0.562;-1.075;0.510;-0.959;0.439
1852;12;-0.500;2.361;-1.020;0.729;-1.044;0.552;-1.077;0.509;-0.964;0.435
1853;1;0.106;1.542;-0.997;0.703;-1.045;0.549;-1.064;0.517;-0.973;0.435
1853;2;-0.956;1.757;-1.016;0.686;-1.054;0.553;-1.089;0.523;-0.966;0.425
1853;3;-1.867;1.261;-0.992;0.650;-1.046;0.540;-1.099;0.521;-0.950;0.423
1853;4;-1.303;1.066;-1.039;0.702;-1.051;0.529;-1.110;0.517;-0.947;0.420
1853;5;-1.110;0.810;-0.924;0.627;-1.051;0.539;-1.121;0.515;-0.938;0.418
1853;6;-0.791;1.191;-1.011;0.538;-1.075;0.547;-1.123;0.514;-0.930;0.415
1853;7;-0.880;0.796;-1.137;0.556;-1.101;0.571;-1.117;0.507;-0.926;0.410
1853;8;-1.076;0.800;-1.237;0.622;-1.136;0.613;-1.118;0.508;-0.929;0.407
1853;9;-0.893;0.652;-1.184;0.608;-1.164;0.648;-1.112;0.502;-0.931;0.406
1853;10;-1.432;1.818;-1.230;0.605;-1.180;0.649;-1.108;0.503;-0.923;0.404
1853;11;-0.384;1.113;-1.226;0.642;-1.183;0.652;-1.113;0.503;-0.924;0.404
1853;12;-1.551;1.319;-1.229;0.698;-1.181;0.646;-1.119;0.517;-0.936;0.400
1854;1;-1.402;1.477;-1.196;0.710;-1.188;0.630;-1.102;0.519;-0.937;0.397
1854;2;-2.153;1.607;-1.154;0.745;-1.195;0.630;-1.086;0.514;-0.930;0.396
1854;3;-1.237;1.270;-1.181;0.778;-1.229;0.647;-1.082;0.516;-0.928;0.396
1854;4;-1.845;0.947;-1.088;0.668;-1.253;0.645;-1.074;0.513;-0.939;0.395
1854;5;-1.069;1.382;-1.227;0.680;-1.288;0.650;-1.063;0.508;-0.943;0.392
1854;6;-0.822;1.007;-1.215;0.716;-1.319;0.631;-1.061;0.508;-0.941;0.387
1854;7;-0.484;0.771;-1.166;0.632;-1.356;0.644;-1.058;0.501;-0.941;0.380
1854;8;-0.577;1.047;-1.257;0.674;-1.334;0.659;-1.055;0.492;-0.941;0.374
1854;9;-1.220;1.171;-1.302;0.716;-1.325;0.672;-1.053;0.489;-0.944;0.370
1854;10;-0.316;0.844;-1.260;0.712;-1.295;0.663;-1.055;0.488;-0.945;0.365
1854;11;-2.041;1.306;-1.258;0.677;-1.305;0.657;-1.062;0.495;-0.942;0.364
1854;12;-1.409;1.581;-1.277;0.646;-1.326;0.661;-1.066;0.501;-0.938;0.361
1855;1;-0.815;1.772;-1.273;0.611;-1.328;0.649;-1.056;0.515;-0.957;0.356
1855;2;-3.250;2.127;-1.317;0.612;-1.335;0.642;-1.062;0.515;-0.953;0.357
1855;3;-1.774;1.254;-1.306;0.611;-1.332;0.639;-1.052;0.510;-0.947;0.359
1855;4;-1.347;0.953;-1.405;0.673;-1.327;0.642;-1.047;0.502;-0.943;0.360
1855;5;-1.036;0.858;-1.331;0.689;-1.336;0.622;-1.046;0.488;-0.937;0.357
1855;6;-1.052;0.514;-1.383;0.701;-1.319;0.605;-1.044;0.481;-0.935;0.354
1855;7;-0.446;0.656;-1.447;0.804;-1.312;0.609;-1.049;0.480;-0.932;0.350
1855;8;-1.096;1.028;-1.350;0.798;-1.327;0.608;-1.053;0.478;-0.932;0.347
1855;9;-1.095;1.059;-1.415;0.882;-1.314;0.600;-1.048;0.470;-0.927;0.339
1855;10;-1.497;1.586;-1.392;0.900;-1.316;0.591;-1.046;0.458;-0.923;0.334
1855;11;-1.160;1.425;-1.410;0.886;-1.324;0.586;-1.046;0.456;-0.926;0.331
1855;12;-2.029;1.654;-1.394;0.917;-1.322;0.598;-1.055;0.456;-0.923;0.327
1856;1;-1.585;1.746;-1.477;0.932;-1.317;0.598;-1.068;0.458;-0.922;0.328
1856;2;-2.081;1.783;-1.544;0.942;-1.310;0.597;-1.077;0.467;-0.913;0.324
1856;3;-2.560;1.802;-1.604;0.983;-1.307;0.597;-1.081;0.469;-0.924;0.324
1856;4;-1.074;1.082;-1.611;0.940;-1.281;0.582;-1.090;0.466;-0.929;0.323
1856;5;-1.242;0.711;-1.779;0.912;-1.303;0.589;-1.096;0.463;-0.933;0.323
1856;6;-0.859;0.838;-1.806;0.919;-1.287;0.589;-1.091;0.457;-0.937;0.320
1856;7;-1.445;0.643;-1.928;0.990;-1.263;0.578;-1.088;0.450;-0.939;0.318
1856;8;-1.898;1.643;-1.672;0.929;-1.209;0.561;-1.083;0.443;-0.947;0.319
1856;9;-1.824;1.557;-1.530;0.909;-1.193;0.557;-1.093;0.446;-0.951;0.318
1856;10;-1.580;0.950;-1.556;0.936;-1.180;0.549;-1.097;0.443;-0.954;0.316
1856;11;-3.174;1.337;-1.616;0.941;-1.158;0.538;-1.095;0.442;-0.960;0.316
1856;12;-2.356;1.789;-1.709;0.934;-1.151;0.535;-1.098;0.429;-0.959;0.314
1857;1;-3.043;2.619;-1.695;0.901;-1.160;0.529;-1.113;0.424;-0.972;0.315
1857;2;0.989;1.597;-1.642;0.842;-1.158;0.519;-1.136;0.428;-0.965;0.314
1857;3;-0.851;1.876;-1.575;0.824;-1.149;0.514;-1.139;0.424;-0.962;0.312
1857;4;-1.390;1.346;-1.492;0.821;-1.160;0.520;-1.123;0.410;-0.958;0.310
1857;5;-1.957;0.842;-1.419;0.785;-1.134;0.513;-1.119;0.401;-0.963;0.308
1857;6;-1.979;0.744;-1.179;0.726;-1.140;0.512;-1.125;0.399;-0.960;0.306
1857;7;-1.275;0.988;-0.882;0.629;-1.127;0.515;-1.119;0.393;-0.959;0.304
1857;8;-1.262;0.633;-1.121;0.572;-1.093;0.500;-1.122;0.389;-0.959;0.302
1857;9;-1.025;1.393;-1.140;0.505;-1.071;0.495;-1.121;0.381;-0.961;0.300
1857;10;-0.584;0.986;-1.142;0.459;-1.058;0.491;-1.121;0.383;-0.958;0.299
1857;11;-2.290;1.962;-1.112;0.446;-1.057;0.481;-1.114;0.372;-0.969;0.301
1857;12;0.524;1.464;-1.004;0.471;-1.044;0.479;-1.115;0.363;-0.986;0.302
1858;1;0.515;1.484;-0.942;0.506;-1.054;0.478;-1.109;0.366;-0.989;0.301
1858;2;-1.879;1.414;-0.891;0.509;-1.052;0.471;-1.098;0.368;-1.001;0.307
1858;3;-1.071;0.909;-0.866;0.549;-1.050;0.464;-1.085;0.365;-1.004;0.307
1858;4;-1.415;1.070;-0.807;0.558;-1.042;0.453;-1.080;0.360;-1.010;0.308
1858;5;-1.605;0.888;-0.758;0.556;-1.041;0.443;-1.072;0.358;-1.012;0.307
1858;6;-0.681;0.922;-0.850;0.578;-1.035;0.434;-1.067;0.359;-1.014;0.306
1858;7;-0.532;0.922;-0.894;0.598;-1.035;0.418;-1.065;0.357;-1.008;0.303
1858;8;-0.653;0.681;-0.644;0.536;-1.017;0.414;-1.062;0.354;-1.008;0.301
1858;9;-0.720;1.189;-0.579;0.575;-0.998;0.402;-1.062;0.349;-1.007;0.299
1858;10;0.126;1.000;-0.549;0.566;-0.999;0.397;-1.057;0.341;-1.009;0.299
1858;11;-1.702;1.513;-0.397;0.563;-1.008;0.392;-1.064;0.343;-1.008;0.298
1858;12;-0.584;1.273;-0.370;0.543;-1.000;0.388;-1.061;0.340;-1.014;0.301
1859;1;-0.009;1.430;-0.415;0.525;-0.988;0.387;-1.065;0.335;-1.005;0.299
1859;2;1.118;1.593;-0.395;0.532;-0.971;0.387;-1.052;0.334;-1.000;0.296
1859;3;-0.290;1.403;-0.394;0.499;-0.957;0.385;-1.052;0.336;-1.000;0.295
1859;4;-1.048;0.811;-0.484;0.480;-0.941;0.387;-1.046;0.333;-0.995;0.293
1859;5;0.218;0.816;-0.381;0.433;-0.902;0.378;-1.045;0.328;-0.993;0.288
1859;6;-0.362;0.878;-0.480;0.404;-0.877;0.372;-1.039;0.327;-0.992;0.287
1859;7;-1.072;0.732;-0.483;0.412;-0.870;0.369;-1.044;0.323;-0.989;0.284
1859;8;-0.416;0.716;-0.679;0.460;-0.938;0.357;-1.048;0.318;-0.988;0.281
1859;9;-0.709;0.839;-0.691;0.463;-0.952;0.359;-1.045;0.313;-0.987;0.278
1859;10;-0.950;0.951;-0.651;0.437;-0.951;0.352;-1.052;0.312;-0.993;0.278
1859;11;-0.465;0.898;-0.752;0.430;-0.932;0.349;-1.046;0.308;-1.000;0.278
1859;12;-1.775;1.367;-0.744;0.452;-0.925;0.355;-1.044;0.304;-0.999;0.276
1860;1;-0.040;1.543;-0.740;0.448;-0.910;0.354;-1.045;0.304;-0.997;0.281
1860;2;-1.231;1.115;-0.788;0.436;-0.909;0.354;-1.026;0.303;-1.000;0.282
1860;3;-0.437;1.222;-0.809;0.434;-0.909;0.360;-1.019;0.301;-1.000;0.281
1860;4;-0.577;0.909;-0.813;0.435;-0.915;0.357;-1.014;0.297;-0.998;0.280
1860;5;-0.992;1.151;-0.867;0.459;-0.892;0.339;-1.014;0.293;-0.994;0.277
1860;6;-0.264;0.816;-0.859;0.469;-0.912;0.338;-1.010;0.292;-0.991;0.275
1860;7;-1.019;0.715;-0.991;0.429;-0.905;0.344;-1.010;0.290;-0.989;0.277
1860;8;-0.989;0.623;-0.968;0.469;-0.869;0.345;-1.009;0.287;-0.990;0.278
1860;9;-0.965;0.702;-1.049;0.500;-0.856;0.351;-1.003;0.283;-0.987;0.275
1860;10;-1.000;0.770;-1.097;0.504;-0.844;0.344;-0.996;0.278;-0.984;0.271
1860;11;-1.110;1.131;-1.161;0.476;-0.819;0.340;-0.989;0.274;-0.979;0.270
1860;12;-1.680;1.184;-1.174;0.429;-0.812;0.337;-0.985;0.269;-0.984;0.270
1861;1;-1.620;1.349;-1.150;0.420;-0.814;0.324;-0.974;0.264;-0.987;0.272
1861;2;-0.959;1.702;-1.141;0.414;-0.815;0.316;-0.965;0.259;-0.994;0.276
1861;3;-1.418;1.696;-1.141;0.423;-0.818;0.313;-0.958;0.251;-0.991;0.278
1861;4;-1.147;0.915;-1.108;0.431;-0.833;0.306;-0.955;0.247;-0.992;0.278
1861;5;-1.759;0.838;-1.086;0.410;-0.826;0.293;-0.954;0.247;-0.992;0.280
1861;6;-0.418;0.652;-1.018;0.432;-0.835;0.289;-0.953;0.245;-0.991;0.280
1861;7;-0.734;0.601;-1.099;0.482;-0.867;0.280;-0.946;0.247;-0.989;0.278
1861;8;-0.878;0.626;-1.278;0.456;-0.894;0.283;-0.938;0.246;-0.985;0.275
1861;9;-0.964;0.606;-1.299;0.421;-0.911;0.281;-0.926;0.248;-0.992;0.276
1861;10;-0.607;0.820;-1.316;0.397;-0.913;0.281;-0.920;0.249;-0.996;0.276
1861;11;-0.853;1.056;-1.239;0.376;-0.931;0.280;-0.900;0.245;-0.998;0.277
1861;12;-0.858;1.289;-1.333;0.399;-0.926;0.287;-0.893;0.242;-1.008;0.271
1862;1;-2.599;1.764;-1.301;0.395;-0.928;0.286;-0.884;0.244;-1.005;0.269
1862;2;-3.101;1.439;-1.329;0.402;-0.938;0.289;-0.896;0.241;-1.008;0.269
1862;3;-1.665;1.145;-1.337;0.418;-0.940;0.295;-0.907;0.240;-1.010;0.268
1862;4;-1.355;1.064;-1.361;0.427;-0.945;0.296;-0.903;0.235;-1.000;0.266
1862;5;-0.835;0.889;-1.366;0.423;-0.958;0.294;-0.901;0.234;-0.997;0.264
1862;6;-1.553;0.862;-1.353;0.421;-0.949;0.297;-0.884;0.236;-0.995;0.266
1862;7;-0.341;0.734;-1.061;0.451;-0.964;0.299;-0.876;0.236;-0.993;0.266
1862;8;-1.215;0.654;-0.778;0.479;-0.960;0.305;-0.870;0.236;-0.992;0.266
1862;9;-1.063;0.747;-0.663;0.488;-0.968;0.296;-0.867;0.238;-0.990;0.264
1862;10;-0.899;1.025;-0.609;0.473;-0.970;0.296;-0.864;0.239;-0.989;0.264
1862;11;-0.905;1.048;-0.547;0.466;-0.970;0.291;-0.863;0.235;-0.986;0.262
1862;12;-0.710;1.540;-0.437;0.454;-0.976;0.291;-0.895;0.235;-0.992;0.259
1863;1;0.912;1.530;-0.465;0.434;-0.966;0.293;-0.914;0.238;-0.996;0.261
1863;2;0.289;1.453;-0.425;0.418;-0.967;0.293;-0.914;0.239;-0.999;0.262
1863;3;-0.278;1.201;-0.407;0.423;-0.957;0.303;-0.909;0.238;-0.995;0.259
1863;4;-0.708;0.957;-0.396;0.401;-0.951;0.304;-0.910;0.240;-0.995;0.257
1863;5;-0.097;0.586;-0.429;0.407;-0.938;0.299;-0.903;0.243;-0.995;0.256
1863;6;-0.226;0.507;-0.464;0.391;-0.936;0.298;-0.904;0.247;-0.995;0.258
1863;7;-0.684;0.935;-0.700;0.379;-0.912;0.304;-0.900;0.249;-0.994;0.258
1863;8;-0.727;1.062;-0.768;0.378;-0.913;0.300;-0.897;0.249;-0.992;0.257
1863;9;-0.851;0.913;-0.851;0.391;-0.918;0.295;-0.903;0.249;-0.993;0.256
1863;10;-0.771;0.633;-0.892;0.417;-0.912;0.290;-0.910;0.251;-0.992;0.254
1863;11;-1.297;1.408;-0.957;0.429;-0.901;0.289;-0.904;0.254;-0.997;0.253
1863;12;-1.128;1.013;-0.944;0.439;-0.907;0.287;-0.909;0.257;-0.995;0.254
1864;1;-1.920;1.489;-0.985;0.480;-0.903;0.290;-0.908;0.261;-0.993;0.254
1864;2;-0.534;1.091;-1.007;0.504;-0.904;0.291;-0.913;0.260;-0.987;0.255
1864;3;-1.271;1.155;-1.007;0.501;-0.895;0.292;-0.918;0.261;-0.990;0.256
1864;4;-1.194;0.952;-1.045;0.539;-0.899;0.293;-0.916;0.262;-0.987;0.256
1864;5;-0.878;0.807;-1.044;0.550;-0.899;0.295;-0.923;0.266;-0.986;0.256
1864;6;-0.077;0.757;-1.050;0.532;-0.909;0.302;-0.924;0.270;-0.986;0.257
1864;7;-1.166;1.049;-0.968;0.542;-0.899;0.315;-0.921;0.268;-0.988;0.258
1864;8;-1.003;1.115;-1.005;0.557;-0.855;0.322;-0.920;0.270;-0.989;0.258
1864;9;-0.843;0.901;-0.978;0.521;-0.862;0.320;-0.922;0.274;-0.987;0.257
1864;10;-1.232;0.936;-0.937;0.490;-0.856;0.318;-0.931;0.276;-0.988;0.258
1864;11;-1.284;1.529;-0.948;0.483;-0.869;0.312;-0.938;0.278;-0.986;0.259
1864;12;-1.199;1.176;-0.991;0.453;-0.843;0.311;-0.931;0.292;-0.983;0.258
1865;1;-0.930;1.247;-0.930;0.424;-0.843;0.316;-0.938;0.291;-0.989;0.259
1865;2;-0.986;1.181;-0.932;0.392;-0.832;0.311;-0.938;0.290;-0.982;0.257
1865;3;-0.939;0.908;-0.892;0.394;-0.825;0.313;-0.948;0.290;-0.981;0.258
1865;4;-0.710;0.718;-0.844;0.376;-0.813;0.311;-0.949;0.294;-0.980;0.258
1865;5;-1.009;0.689;-0.763;0.360;-0.835;0.312;-0.943;0.294;-0.980;0.258
1865;6;-0.593;0.378;-0.793;0.373;-0.877;0.321;-0.938;0.296;-0.979;0.259
1865;7;-0.432;0.785;-0.733;0.350;-0.922;0.335;-0.929;0.300;-0.980;0.260
1865;8;-1.028;0.651;-0.737;0.378;-0.958;0.334;-0.927;0.300;-0.978;0.259
1865;9;-0.364;0.902;-0.802;0.405;-0.962;0.335;-0.926;0.303;-0.978;0.259
1865;10;-0.654;0.716;-0.804;0.420;-0.975;0.338;-0.922;0.303;-0.976;0.258
1865;11;-0.312;1.191;-0.812;0.426;-0.987;0.342;-0.913;0.298;-0.980;0.257
1865;12;-1.562;1.449;-0.827;0.401;-0.997;0.345;-0.913;0.297;-0.978;0.255
1866;1;-0.204;1.422;-0.836;0.419;-0.986;0.354;-0.907;0.301;-0.977;0.254
1866;2;-1.031;1.415;-0.827;0.430;-0.979;0.356;-0.911;0.299;-0.973;0.252
1866;3;-1.725;1.074;-0.834;0.454;-0.988;0.356;-0.900;0.296;-0.968;0.249
1866;4;-0.735;0.838;-0.849;0.482;-0.987;0.360;-0.895;0.295;-0.968;0.247
1866;5;-1.098;0.662;-0.891;0.473;-0.983;0.363;-0.888;0.296;-0.967;0.247
1866;6;-0.784;0.740;-0.886;0.465;-0.984;0.370;-0.891;0.297;-0.967;0.250
1866;7;-0.531;0.794;-1.032;0.453;-0.949;0.374;-0.889;0.299;-0.964;0.251
1866;8;-0.922;0.828;-0.985;0.443;-0.932;0.381;-0.887;0.297;-0.959;0.249
1866;9;-0.448;0.684;-1.015;0.457;-0.925;0.378;-0.891;0.297;-0.955;0.248
1866;10;-0.832;0.804;-1.038;0.464;-0.920;0.376;-0.895;0.296;-0.952;0.249
1866;11;-0.824;0.974;-1.081;0.456;-0.916;0.387;-0.902;0.298;-0.946;0.248
1866;12;-1.502;1.636;-1.017;0.489;-0.921;0.383;-0.917;0.302;-0.943;0.245
1867;1;-1.951;1.430;-0.998;0.520;-0.913;0.382;-0.897;0.306;-0.934;0.244
1867;2;-0.474;1.292;-0.969;0.516;-0.903;0.381;-0.881;0.305;-0.938;0.245
1867;3;-2.074;1.621;-0.987;0.533;-0.904;0.386;-0.882;0.302;-0.940;0.242
1867;4;-1.014;0.967;-0.933;0.524;-0.916;0.382;-0.878;0.298;-0.937;0.240
1867;5;-1.618;0.691;-1.047;0.528;-0.918;0.381;-0.875;0.296;-0.931;0.239
1867;6;-0.007;0.536;-1.192;0.496;-0.913;0.405;-0.864;0.295;-0.927;0.242
1867;7;-0.303;0.711;-1.180;0.520;-0.913;0.401;-0.866;0.297;-0.923;0.244
1867;8;-0.577;0.504;-1.295;0.455;-0.916;0.401;-0.863;0.297;-0.920;0.246
1867;9;-0.668;0.584;-1.166;0.439;-0.927;0.399;-0.859;0.298;-0.919;0.246
1867;10;-0.181;0.829;-1.206;0.442;-0.927;0.401;-0.856;0.296;-0.921;0.247
1867;11;-2.197;1.048;-1.138;0.463;-0.915;0.399;-0.858;0.299;-0.910;0.246
1867;12;-3.240;1.306;-1.207;0.462;-0.901;0.396;-0.868;0.301;-0.908;0.246
1868;1;-1.804;1.858;-1.180;0.459;-0.892;0.403;-0.884;0.304;-0.912;0.247
1868;2;-1.860;1.617;-1.159;0.470;-0.887;0.400;-0.899;0.309;-0.900;0.248
1868;3;-0.520;1.007;-1.218;0.459;-0.895;0.402;-0.905;0.307;-0.891;0.249
1868;4;-1.495;0.823;-1.262;0.442;-0.893;0.401;-0.910;0.306;-0.882;0.250
1868;5;-0.804;0.692;-1.167;0.452;-0.888;0.394;-0.918;0.304;-0.877;0.252
1868;6;-0.830;0.618;-0.999;0.467;-0.891;0.389;-0.923;0.306;-0.874;0.254
1868;7;0.013;0.626;-0.833;0.479;-0.901;0.390;-0.923;0.309;-0.872;0.257
1868;8;-0.319;0.629;-0.639;0.548;-0.908;0.380;-0.922;0.308;-0.870;0.257
1868;9;-1.375;0.538;-0.666;0.578;-0.882;0.373;-0.923;0.309;-0.869;0.258
1868;10;-0.707;0.702;-0.615;0.632;-0.879;0.373;-0.928;0.310;-0.869;0.259
1868;11;-1.062;1.138;-0.599;0.742;-0.875;0.372;-0.929;0.305;-0.862;0.259
1868;12;-1.219;1.382;-0.565;0.744;-0.875;0.375;-0.930;0.307;-0.862;0.259
1869;1;0.177;1.835;-0.623;0.715;-0.875;0.374;-0.920;0.308;-0.864;0.262
1869;2;0.473;1.578;-0.626;0.703;-0.871;0.370;-0.923;0.309;-0.871;0.262
1869;3;-0.850;1.267;-0.589;0.730;-0.887;0.368;-0.927;0.305;-0.872;0.263
1869;4;-0.873;1.183;-0.694;0.739;-0.890;0.364;-0.929;0.304;-0.869;0.263
1869;5;-0.620;1.889;-0.721;0.723;-0.905;0.363;-0.928;0.305;-0.873;0.263
1869;6;-0.417;0.591;-0.695;0.845;-0.925;0.360;-0.933;0.305;-0.873;0.264
1869;7;-0.687;0.601;-0.786;0.751;-0.896;0.351;-0.931;0.311;-0.871;0.264
1869;8;-0.349;0.592;-0.923;0.669;-0.907;0.340;-0.930;0.312;-0.872;0.265
1869;9;-0.929;0.618;-0.987;0.618;-0.902;0.336;-0.929;0.317;-0.872;0.266
1869;10;-1.973;0.846;-0.974;0.578;-0.900;0.332;-0.923;0.315;-0.871;0.265
1869;11;-1.383;1.318;-0.947;0.527;-0.882;0.333;-0.926;0.313;-0.874;0.265
1869;12;-0.903;2.451;-0.889;0.528;-0.884;0.332;-0.922;0.313;-0.877;0.267
1870;1;-0.920;1.334;-0.825;0.554;-0.890;0.334;-0.933;0.312;-0.879;0.268
1870;2;-1.174;1.221;-0.857;0.568;-0.894;0.339;-0.937;0.313;-0.878;0.269
1870;3;-1.614;1.175;-0.847;0.581;-0.892;0.337;-0.943;0.314;-0.881;0.268
1870;4;-0.719;1.158;-0.727;0.559;-0.899;0.333;-0.946;0.319;-0.884;0.270
1870;5;-0.293;0.617;-0.613;0.553;-0.882;0.334;-0.946;0.320;-0.882;0.271
1870;6;0.282;0.752;-0.683;0.565;-0.858;0.331;-0.948;0.323;-0.884;0.273
1870;7;0.076;0.990;-0.673;0.548;-0.845;0.330;-0.950;0.326;-0.882;0.276
1870;8;-0.730;0.894;-0.696;0.507;-0.840;0.329;-0.947;0.329;-0.881;0.277
1870;9;-0.809;0.742;-0.578;0.498;-0.848;0.326;-0.953;0.335;-0.879;0.280
1870;10;-0.540;0.760;-0.563;0.480;-0.845;0.320;-0.956;0.335;-0.878;0.280
1870;11;-0.012;1.032;-0.612;0.496;-0.848;0.316;-0.972;0.332;-0.879;0.280
1870;12;-1.740;1.612;-0.698;0.507;-0.849;0.318;-0.971;0.326;-0.877;0.282
1871;1;-0.802;1.289;-0.748;0.466;-0.860;0.319;-0.980;0.323;-0.875;0.285
1871;2;-1.443;1.059;-0.744;0.440;-0.865;0.318;-0.981;0.319;-0.873;0.286
1871;3;-0.207;1.111;-0.796;0.454;-0.859;0.319;-0.978;0.321;-0.869;0.287
1871;4;-0.538;1.021;-0.835;0.478;-0.869;0.318;-0.981;0.320;-0.865;0.286
1871;5;-0.874;0.924;-0.977;0.511;-0.876;0.315;-0.981;0.320;-0.858;0.287
1871;6;-0.759;1.016;-1.057;0.526;-0.876;0.315;-0.981;0.329;-0.859;0.288
1871;7;-0.518;0.689;-1.008;0.520;-0.892;0.324;-0.983;0.331;-0.857;0.289
1871;8;-0.681;0.701;-0.982;0.521;-0.914;0.337;-0.981;0.332;-0.854;0.289
1871;9;-1.442;0.843;-1.110;0.543;-0.929;0.346;-0.983;0.335;-0.852;0.290
1871;10;-1.001;0.802;-1.144;0.548;-0.937;0.356;-0.984;0.333;-0.853;0.290
1871;11;-1.716;1.030;-1.113;0.532;-0.939;0.375;-0.992;0.330;-0.853;0.290
1871;12;-2.706;1.280;-1.063;0.542;-0.945;0.384;-0.993;0.321;-0.853;0.291
1872;1;-0.208;1.210;-1.075;0.575;-0.949;0.392;-0.984;0.316;-0.845;0.291
1872;2;-1.137;1.304;-1.085;0.616;-0.958;0.394;-0.981;0.315;-0.835;0.293
1872;3;-1.744;1.257;-1.009;0.624;-0.954;0.402;-0.974;0.313;-0.833;0.292
1872;4;-0.941;0.928;-0.978;0.648;-0.930;0.401;-0.970;0.312;-0.832;0.290
1872;5;-0.500;0.836;-0.930;0.695;-0.934;0.408;-0.961;0.315;-0.831;0.289
1872;6;-0.156;0.844;-0.857;0.705;-0.930;0.422;-0.970;0.321;-0.826;0.289
1872;7;-0.662;0.902;-0.924;0.702;-0.953;0.424;-0.971;0.324;-0.828;0.290
1872;8;-0.803;1.224;-0.959;0.729;-0.958;0.422;-0.970;0.329;-0.824;0.290
1872;9;-0.534;0.895;-0.896;0.709;-0.959;0.423;-0.971;0.331;-0.822;0.291
1872;10;-0.633;1.055;-0.930;0.677;-0.965;0.424;-0.978;0.330;-0.821;0.289
